Country,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028
Eritrea,492.73,489.35,486.06,482.72,479.42,476.07,496.45,518.36,514.61,510.54,513.59,585.19,666.41,722.65,781.95,896.04,875.91,930.82,976.14,972.31,954.48,813.72,852.11,838.36,778.65,763.48,734.83,726.84,638.07,645.35,644.62,685.64,720.58,740.89,750.87,762.85,770.77,802.68,829.07,847.09,804.84,814.69,827.54,841.01,858.46,876.77,895.97,915.45,934.43
Estonia,8589.6,8647.56,9075.3,9345.04,9534.6,9506.91,9538.26,9795.81,10031.14,10327.38,9614.11,8900.43,7157.84,6712.08,6709.32,7114.97,7563.85,8638.25,9091.94,9128.34,10124.37,10810.25,11631.73,12602.51,13547.03,14929.05,16488.4,17829.16,16981.85,14575.82,15020.71,16208.28,16823.28,17171.3,17785.39,18214.4,18795.84,19988.37,21063.48,22112.23,22150.78,24085.2,23995.14,23852.99,24736.65,25840.36,26773.58,27772.19,28836.04
Ethiopia,303.01,289.48,279.12,293.23,289.15,253.07,271.12,298.58,289.84,279.59,278.63,249.1,219.94,242.92,244.05,251.53,274.98,276.4,260.25,266.82,275.91,291.33,288.16,274.57,303.66,330.69,356.92,387.24,417.55,442.1,484.09,523.23,552.47,594.01,636.36,682.61,726.68,774.71,805.66,850.01,878.73,904.82,916.18,941.5,975.27,1017.34,1063.63,1106.26,1149.51
Fiji,3625.29,3781.66,3490.1,3287,3491.89,3267.08,3450.92,3192.72,3193.51,3399.87,3565.04,3438.34,3616.23,3661.21,3814.8,3876.79,4029.64,3907.28,3922.7,4233.8,4131.55,4184.06,4286.54,4295.17,4486.6,4481.63,4524.69,4443.2,4445.16,4343.35,4433.48,4516.58,4544.65,4724.24,4953.34,5149.11,5244.24,5495.17,5656.33,5685.78,4684.35,4424.65,5043.67,5419.02,5737.1,6000.8,6223.87,6428.44,6633.54
Finland,23911.81,24123.48,24734.25,25353.44,26034.92,26848.77,27500.96,28401.14,29792.91,31208.67,31266.9,29265.87,28148.75,27831.15,28813.72,29919.48,30921.88,32790.28,34495.14,35928.34,37925.42,38827.18,39395.71,40089.55,41569.38,42579.51,44126.22,46269.3,46416.12,42464.12,43616.84,44520.05,43689.16,43096.04,42749.81,42805.08,43795.09,44986.42,45562.66,45862.57,44655.54,45883.23,46677.28,46457.71,46737.98,47294.86,47772.04,48297,48875.99
France,23561.57,23688.26,24150.33,24347.03,24574.85,24864.12,25338.39,25866.02,26965.82,27860.2,28502.44,28629.51,28915.06,28580.9,29117.52,29594.31,29876.68,30437.54,31385.31,32303.82,33395.88,33864.55,34051.39,34139.8,34900.58,35266.5,35904.18,36546.7,36430.27,35186.44,35673.02,36256.88,36184.99,36216.44,36393.11,36635.16,36880,37574.06,38102.49,38537.77,35370.05,37637.68,38473.9,38585.93,38758.68,39230.24,39607.13,39962.53,40321.11
Gabon,9541.59,9786.44,9181.58,9380.5,9748.3,9195.96,8834.56,7135.61,7877.32,8366,8612.81,8919.44,8568.05,8503.48,8680.11,9028.93,9183.38,9488.42,9596.53,8493.99,8082.02,8057.61,7866.06,7865.66,7701.27,7657.94,7203.76,7371.1,6873.36,6635.58,6848.66,7086.45,7207.08,7337.35,7386.57,7421.77,7341.79,7161.23,7021.49,7070.46,6769.73,6707.46,6724.63,6762.4,6814.67,6862.05,6904.53,6951.77,6999.34
Gambia,733.73,736.74,710.51,765.65,760.41,723.52,722.46,710.08,711.66,722.92,718.12,710.21,704.21,696.35,670.82,652.34,644.13,653.92,656.15,678.01,695.82,716.77,675.34,702.97,733.02,697.33,675.74,678.72,703.21,731.7,756.31,678.43,697.47,701.28,676.15,688.51,687.24,705.66,736.89,765.83,751.71,765.29,781.36,806.68,834.15,863.97,894.35,925.91,955.87
Georgia,3508.52,3673.34,3726.25,3864.04,4049.43,4223.98,3859.33,3893.14,4047.42,3702.02,3135.36,2474.12,1378.28,993.42,911.34,954.4,1077.45,1202.7,1248.67,1292.58,1325.45,1396.55,1478.65,1650.55,1749.06,1897.93,2059.17,2321.25,2377.71,2275.77,2394.79,2553.56,2709.65,2812.39,2940.77,3032.5,3122.65,3274.97,3434.55,3609.94,3363.89,3710.09,4085.84,4286.17,4446.76,4614.07,4721.53,4834.85,4960.68
Germany,23722.62,23816.56,23742.68,24181.95,24949.62,25586.47,26162.1,26527.29,27400.62,28245.92,29454.78,30725.68,31079.7,30572.57,31197.32,31583.21,31750.35,32269.22,32915.69,33517.56,34442.26,34968.71,34841,34573.06,34991.8,35264.83,36651.41,37795.37,38238.8,36160.6,37760.91,39325.84,39571.45,39818.58,40780.49,41562.98,42559.11,43682.95,44429.97,44765.27,42940.64,44097.7,44980.07,45112.18,45660.91,46434.03,47276.54,48033.73,48754.95
Ghana,936.9,887.37,806.38,720.14,741.05,753.47,760.68,777.64,801.88,823.23,831.62,856.62,871.17,891.2,899.83,920.64,946.85,969.51,996.52,1020.79,1037.96,1057.98,1082.55,1114.47,1151.87,1193.43,1241.8,1267.27,1353.43,1388.37,1465.05,1633.65,1746.02,1833.01,1845.23,1844.63,1867.06,1970.45,2044.11,2125.76,2087.73,2149.99,2185.55,2201.97,2240.86,2296.58,2349.97,2405.21,2459.39
Greece,15378.37,15004.3,14733.72,14480.95,14688.42,14988,15008.72,14621.75,15221.64,15709.42,15541.33,15818.47,15786.94,15427.55,15644.28,15885.51,16255.21,16885.5,17428.54,17882.06,18492.67,19138.55,19841.52,21010.6,22094.25,22244.48,23512.31,24289.89,24177.34,23076.31,21783.65,19834.27,18502.78,18028.09,18281.04,18324.8,18331.12,18617.42,19029.39,19441.21,17803.94,19309.62,20550.55,21101.12,21568.34,22217.9,22693.76,23172.24,23637.55
Grenada,3619.41,3587.79,3733.34,3864.27,3993.02,4217.19,4496.67,4879.15,5012.07,5199.98,5414.32,5497.74,5417.08,5249.41,5283.57,5341.26,5526.81,5750.73,6374.34,6773.58,7061.03,6871.8,7070.61,7703.44,7605.79,8563.99,8174.39,8618.82,8645.94,8025.66,7938.78,7955.17,7820.57,7962.18,8503.32,9006.88,9299.24,9668.95,10026.39,10298.03,8847.62,9229.32,9743,10013.71,10244.26,10463.79,10687.54,10922.2,11151.11
Guatemala,3410.58,3342.62,3152.84,3003.31,2943.82,2852,2781.38,2802.57,2832.39,2861.47,2867.46,2891.02,2947.7,2977.98,3011.34,3072.27,3076.48,3125.28,3195.7,3233.87,3281.9,3291.57,3338.12,3341.38,3361.85,3385.56,3483.83,3620.27,3656.45,3596,3619.53,3690.25,3721.49,3781.6,3872.67,3954.94,3987.65,4037.08,4095.71,4181.67,4038.77,4291.21,4397.16,4486.45,4553.17,4642.66,4711.15,4776.2,4837.43
Guinea,603.2,595.81,595.42,592.07,574.49,572.54,573.4,579.45,602.55,612.91,607.67,582.56,580.97,594.96,600.84,609.5,616.68,643.33,658.47,663.57,665.35,686.07,713.78,703.56,703.07,710.37,704.48,734.67,745.65,718.6,734.03,755.18,779.27,789.11,796.67,805.01,868.22,932.27,963.09,989.18,1009.6,1018.95,1036.84,1055.1,1072.78,1089.91,1106.46,1121.53,1136.8
Guinea-Bissau,508.42,587.23,597.97,564.43,601.7,612.32,593.39,596.4,609.23,631.97,656.06,675.6,668.4,665.39,670.69,689.02,757.38,790.93,559.69,556.23,574.21,574.49,556.7,547.67,550.4,560.99,560.78,565.59,569.98,575.34,587.98,621.02,596.62,601.98,593.59,615.16,637.99,659.36,667.75,681.32,674.43,690.53,694.84,706.58,715.71,724.94,734.97,739.99,743.59
Guyana,2335.09,2362.01,2047.96,1910.61,1814.74,1857.87,1838.4,1851.1,1779.03,1687.08,1629.13,1730.09,1872.24,2026.44,2197.34,2303.5,2487.91,2643.56,2585.37,2636.85,2583.08,2640.12,2682.75,2676.45,2720.19,2678.15,2839.32,3065.05,3150.24,3285.2,3442.39,3640.1,3847.85,4052.69,4217.83,4348.65,4490.7,4585.93,4772.18,4992.01,6971.48,8430.18,13517.49,17149.59,24502.33,29378.52,36295.75,37633.35,38682.88
Haiti,1410.45,1342.78,1269.07,1254.67,1232.55,1214.22,1183.09,1149.55,1129.88,1075.7,1064.47,1064.69,988.9,914.77,787.75,846.65,862.72,867.49,867.99,873.5,864.28,839.98,823.16,811.21,768.43,768.45,772.44,785.69,780.34,792.39,775.55,808.55,821.43,845.21,857.85,850.85,844.13,841.19,842.52,823.98,786.5,762.92,740.93,732.9,732.59,733.35,742.39,751.93,761.6
Honduras,1913.54,1815.07,1715.83,1673.78,1717.68,1750.02,1777.98,1832.47,1805.86,1798.84,1795.75,1687.07,1737.8,1796.57,1747.79,1802.05,1783.61,1814.03,1828.02,1770,1848.64,1850.14,1872.89,1911.17,1982.5,2053.92,2139.76,2223.03,2268.73,2169.36,2207.31,2249.86,2301.25,2325.71,2364.02,2422.38,2485.32,2574.2,2632.76,2667.9,2398.35,2665.99,2625.28,2681.46,2741.09,2801.26,2863.22,2925.52,2989.18
Hong Kong,12553.09,13397.28,13580.01,14174.67,15435.95,15386.62,16876.22,18932.06,20383.26,20728.38,21419.33,22388.57,23471.28,24489.66,25402.02,25346.38,25739.48,26617.97,24865.84,25277.07,26970.08,26882.65,27144.76,27823.77,30018.76,31974.03,33971.89,35917.41,36511.34,35601.6,38062.64,39889.58,40453.03,41518.3,42483.01,43324.33,44101.84,45621.95,46786.79,46107.44,42988.81,45666.03,43983.64,46214.33,47653.58,48938.41,49934.84,50882.65,51849.42
Hungary,6782.21,6976.8,7178.8,7242.07,7448.81,7444.04,7574.01,7890.57,8190.05,8287.81,8016.1,7581.87,7360,7355.15,7596.54,7721.5,7744.07,8010.7,8346.9,8627.59,9035.52,9419.88,9883.24,10308.11,10826.04,11302.27,11771.16,11813.83,11955.23,11169.12,11260,11483.54,11334.53,11579.1,12089.59,12581.89,12888.32,13479.25,14202.77,14942.91,14273.23,15344.42,16096.81,15990.86,16552.88,16863.27,17213.07,17575.64,17963.85
Iceland,29753.66,30667.54,30900.67,29847.66,30761.26,31523.44,33280.1,35876.61,35097.22,34789.61,34923.8,34559.19,33112.01,33257,33834.94,33690.53,35038.46,36757.46,38962.18,40057.91,41455.23,42501.8,42397.86,43049.79,46103.95,48258.82,49615.41,52910.61,52966.27,49207.63,47595.98,48350.42,48720.4,50230.92,50631.76,52389.75,55203.03,57054.5,58579.23,59071.26,54236.67,56034.09,59083.32,60483.29,61060.89,61959.73,62943.85,63942.96,65022.43
India,395.6,410.81,416.41,437.68,444.94,458.71,471.03,480.06,516.01,536.17,555.08,550.72,569.97,585.85,613.22,647.48,683.63,698.5,728.59,779.3,795.52,820.05,837.34,888.67,943.98,1003.07,1067.63,1132.54,1150.68,1223.62,1309.25,1359.26,1414.52,1485.46,1575.48,1680.59,1797.53,1901.7,1995.17,2072.28,1930.21,2089.23,2215.27,2315.36,2438.88,2567.44,2710.57,2858.62,3011.91
Indonesia,1052.11,1112.25,1114.33,1138.07,1193.87,1200.21,1247.54,1285.62,1335.86,1410.3,1486.32,1561.95,1635.42,1712.81,1811.43,1927.57,2043.31,2105.06,1800.41,1786.45,1845.07,1884.95,1942.22,2007.08,2079.61,2170.74,2261.02,2374.82,2487.59,2572.72,2702.44,2838.36,2978.29,3112.32,3236.58,3362.79,3500.29,3643.08,3796.55,3952.18,3837.59,3946.92,4123.37,4283.56,4455.93,4646.87,4846.96,5053.94,5264.73
Iran,3766.25,3421.22,4174.16,4353.18,3817.76,3753.39,3247.06,3158.91,2898.18,2986.94,3269.32,3530.59,3544.99,3561.85,3496.93,3533.09,3672.45,3644.55,3678.62,3668.13,3841.01,3826.69,4072.6,4355.34,4501.2,4588.15,4760.32,5084.64,5033.49,5018.19,5241.72,5322.75,4872.95,4801.79,4951.57,4816.23,5389.98,5521.38,4725.74,4358.35,4383.56,4531.91,4588.57,4671.14,4792.08,4926.52,5097.59,5264.47,5410.85
Iraq,3251.43,3116.96,3117.04,2620.98,2495.48,2445.76,2472.2,2653.92,2570.98,2412.5,3686.09,1375.36,1783.89,2255.83,2273.11,2251.49,2424.19,2850.9,3730.19,4255.81,4188.01,4158,3747.47,2430.01,3637.15,3681.83,4029.02,4127.13,4377.01,4354.38,4483.77,4658.22,5078.89,5221.59,5090.6,5093.47,5741.68,5480.54,5329.56,5442.01,4722.52,4753.42,5030.17,5055.23,5063.05,5143.74,5152.03,5167.2,5187.48
Ireland,16676.96,17019.33,17224.88,17065.11,17682.03,18170.99,18090.6,18937.39,19983.58,21244.12,23075.6,23370.52,23968.63,24472.4,25757.23,28095.42,29993.49,32856.85,35264.39,38484.8,41598.3,43222.92,45078.28,45638.47,47646.53,49066.86,50240.83,51587.38,48210.18,45139.11,45529.45,45215.75,44827.86,44920.51,48191.26,59583.33,61024.19,65228.23,69770.06,72854.27,76177.91,85541.13,95039.34,95688.78,97605.02,98718.88,99830.08,101018.53,102221.13
Israel,20150.41,20872.99,20995.64,21325.76,21142.8,21609.13,22124.69,23303.71,23577.91,23311.83,24329.32,25237.44,26214.85,26332.37,27316.1,28147.19,28693.78,29051.23,29413.58,29554.99,30953.62,30309.82,29740.78,29461.2,30110.03,30707.74,31826.74,33060.07,33444.69,33145.36,34355.88,35333.05,35466.6,36275.59,37002.36,37247.04,38136.98,38886.92,39627.18,40412.35,39076.04,41866.8,43888.25,44327.8,44915.53,45559.95,46267.25,46997.31,47738.89
Italy,21779.79,21943.74,22022.85,22244.45,22936.28,23565.18,24239.42,25016.4,26065.2,26948.28,27482.4,27904.57,28041.34,27715.7,28256.67,29023.46,29334.02,29825.77,30326.7,30772.41,31866.54,32406.12,32406.93,32307.6,32555.47,32642.82,33095.56,33388.39,32811.54,30888.45,31269.04,31351.98,30296.04,29631.35,29534.97,29680.64,29990.64,30429.93,30621.69,30672.51,27949.23,29964.67,31162.81,31553.59,31769.12,32161.6,32552.74,32910.82,33207.02
Jamaica,3713.34,3761.46,3772.57,3811.99,3720.72,3579.52,3614.68,3864.02,3982.36,4231.13,4359.39,4507.56,4533.23,4893.11,4894.32,4942.89,4872.55,4755.4,4587.24,4580.48,4572.85,4593.18,4662.55,4829.83,4891.7,4935.06,5079.57,5155.67,5119.04,4903.8,4840.28,4934.03,4913.58,4946.55,4987.47,5038.44,5110.58,5163.02,5263.31,5299.18,4757.88,4974,5228.94,5335.72,5412.76,5516.48,5620.23,5721.29,5818.45
Japan,18946.35,19602.77,20114.15,20680.5,21473.84,22462.98,23069.31,24042.02,25564.05,26698.29,27907.1,28761.84,28908.71,28676.11,28889.46,29615.22,30462.89,30715.41,30293.74,30151.43,30925.3,30969.62,30942.19,31370.51,32026.6,32553.59,33012.7,33545.27,33176.18,31399.73,32748.01,32738.34,33254.28,33950.11,34117.46,34584.68,34824.88,35649.32,35848.95,36187.75,34735.99,35643.2,36145.38,36681.16,37292.03,37828.27,38350.52,38890.12,39437.32
Jordan,4105.51,4123.52,4249.24,4166.89,4357.77,4342.1,4479.32,4449.87,4220.84,3527.48,3295.45,3014.34,3357.42,3409.15,3492.13,3630.08,3617.19,3648.69,3670.03,3706.64,3774.36,3881.74,4012.62,4085.31,4328.91,4562.54,4530.47,4525.64,4735.63,4887.6,4894.15,4903.49,4952.03,4593.58,4128.95,3931.02,3864.69,3866.78,3862.54,3861.76,3748.87,3800.27,3863.92,3925.59,3991.68,4036.68,4063.62,4087.59,4115.75
Kazakhstan,4761.78,4843.36,4927.83,5015.58,5105.39,5198.78,5295.31,5391.92,5513.16,5650.88,5682.64,5019.5,4735.97,4316.1,3826.45,3571.23,3622.98,3726.84,3704.87,3836.7,4218.67,4773.07,5219.21,5675.73,6179.32,6722.35,7368.04,7937.95,8106.42,8099.76,8578.35,9096.18,9414.46,9858.43,10151.2,10155.16,10153.22,10457.84,10777.58,11156.24,10780.83,11150.6,11427.99,11733.82,12105.29,12465.71,12804.12,13135.04,13448.4
Kenya,1094.13,1091.56,1065.85,1039.38,1018.72,1024.46,1059.97,1085.36,1115.52,1131.57,1143.54,1123.89,1075.56,1046.75,1048.48,1066.71,1082.13,1058.25,1063.32,1058.41,1036.17,1045.21,1020.66,1020.15,1040.43,1068.76,1103.23,1143.18,1111.17,1113.24,1171.31,1205.48,1224.37,1263.09,1297.49,1338.06,1384.61,1419.18,1474.88,1519.56,1482.75,1560.07,1600.46,1638.58,1693.55,1746.29,1801.96,1860.26,1920.45
Korea,4055.77,4282.37,4568.3,5103.57,5572.83,5950.76,6559.24,7321.34,8119.22,8607.87,9365.46,10262.14,10774.65,11393.54,12334.9,13405.09,14347.41,15119.71,14237.33,15755.93,17053.24,17751.91,19019.65,19528.29,20460.26,21279.98,22318.79,23471.97,24030.13,24098.69,25603.93,26386.42,26876.99,27594.83,28318.88,28942.07,29631.66,30437.85,31148.01,31695.45,31386.5,32600.35,33359.26,33797.33,34610.08,35311.87,35995.61,36642.24,37263.91
Kuwait,31817.35,24639.79,20663.22,21819.54,21960.21,19866.34,20655.36,21415.94,18485.01,22346.06,16710.75,22327.74,26084.46,32946.78,33746.57,33493.44,32217.46,31896.64,32031.51,30531.21,31058.11,30272.86,30353.52,34672.04,37222.91,40088.68,41980.91,43392.76,43419.87,39442.72,37687.64,40481.38,42336.87,42044.89,41525.3,41085.14,41626.8,39075.01,39003.26,38639.78,34771.7,35508.57,37121.49,36810.33,38099.83,39215.18,39812.32,40285.34,40604.43
Kyrgyzstan,928.89,937.93,946.13,953.09,959.81,967.05,1000.77,1010.13,1122.53,1135.65,1178.77,1069.7,912.82,773.28,618.97,579.73,612.13,663.61,668.38,683.39,712.7,744.64,739,783.86,830.05,820.45,838.04,902.22,970.07,986.98,972.83,1023.16,1013.71,1113.96,1147.17,1178.86,1216.53,1260.67,1294.62,1339.55,1215.33,1278.49,1356.33,1404.33,1452.8,1494.86,1530.82,1568.82,1609.33
Laos,98.84,112.49,566.3,572.83,588.31,604.54,616.44,590.76,562.8,624.82,648.2,657.29,674.59,694.66,730.52,760.21,796.21,832.86,847.02,888.58,920.67,955.72,997.86,1044.18,1092.77,1152.33,1231.72,1302.32,1379.14,1456.14,1552.69,1649.26,1752.13,1861.97,1971.74,2082.09,2194.17,2309.44,2416.39,2490.71,2535.19,2587.06,2616.11,2661.91,2725.28,2807.4,2909.73,3013.24,3120.54
Latvia,7195.72,7463.46,7593.22,7934.83,8332.47,8242.56,8563.98,8690.54,9081.68,9586.35,9328.66,8186.03,5685.32,5105.39,5305.33,4918.28,5100.53,5612.11,6025.89,6246.98,6645.19,7119.04,7691.26,8420.58,9222.22,10322.99,11655.69,12926.67,12624.88,11009.46,10744.73,11633.69,12264.62,12684.17,13066.81,13635.65,14025.92,14712.56,15507.99,16020.52,15828.27,16642.42,17301.73,17611.92,18292.12,19121.02,19844.07,20607.3,21399.89
Lebanon,4352.88,4297.47,2667.26,3213.9,4560.17,5567.77,5101.53,5858.27,4086.82,2318.72,2877.11,4217.5,4850.92,5315.19,5687.93,5997.7,6615.97,6630.9,6821.1,6736.67,6750.39,6901.21,7028.15,7145.14,7507.83,7594.69,7558.76,8050.25,8602.36,9374.71,10083.43,10126.47,10157.71,9445.72,8471.46,8074.66,8128.46,8208.58,8222.15,8094.53,6419.44,5866.15,5652.09,5643.71,5776.96,6029.71,6295.1,6539.39,6754.11
Lesotho,455.89,447.01,454.67,451.52,464.01,463.69,474.72,469.57,500.92,520.72,542.72,570.73,600.31,611.29,637.62,648.6,677.03,696.7,702.54,701.79,725.7,749.19,753.32,787.38,801.31,830.29,866.72,909.72,971.74,992.33,998.73,1049.3,1116.8,1160.15,1190.02,1217.99,1275.95,1248.88,1233.54,1243.08,1164.95,1174.66,1186.95,1201.56,1219.99,1239.64,1258.07,1278.03,1299.59
Liberia,1887.74,1761.39,1739.19,1629.1,1570.33,1491.1,1427.37,1406.94,1400.43,1393.09,346.72,339.6,209.35,135.22,106.56,101.74,111.13,210.71,246.03,282.38,764.14,767.48,780.06,543.92,554.15,558.63,572.16,598.09,617.05,631.32,650.65,674.54,700.91,743.39,730.63,712.34,683.24,683.16,674.16,641.71,623.01,523.96,532.77,540.77,551.6,562.02,572.01,581.48,589.97
Libya,17589.6,13460.09,13097.14,11981.65,10564.87,10495.19,9250.92,7692.7,8046.58,8393,28539.61,32230.46,30558.88,28677.33,28563.75,24574.91,25005.25,24399.3,23685.74,6890.08,6972.56,6690.82,6478.56,7162.64,7322.25,8019.44,8364.88,8699.45,8716.5,8433.01,8634.27,3427.97,8034.95,6755.34,5007.31,4470.69,4261.26,5288.36,5961.2,5989.1,4142.44,5218.51,4822.45,5391.71,6066.41,6503.06,6836.16,7113.12,7366.16
Lithuania,6827.69,6983.87,7138.76,7293.95,7452.54,7614.54,7779.42,7945.94,8145.73,8381.01,8550.01,8105.88,6466.35,5513.27,5020.59,5104.69,5381.64,5836.57,6276.43,6205.13,6449.84,6898.36,7410.57,8261.3,8907.14,9762.26,10663.57,11994.17,12442.55,10724.23,11129.77,12089.11,12729.22,13315.63,13919.41,14350.27,14872.76,15664.69,16403.61,17225.13,17419.65,18636.11,19191.09,19238.79,19926.71,20659.03,21537.97,22408.2,23245.68
Luxembourg,40129.4,39799.09,40214.33,41397.47,43912.26,45027.89,49275.16,50858.04,54580.16,59611.03,61906.06,66530.13,66823.2,68662.38,70284.45,70255.86,70226.31,73275.39,76706,82050.94,87584.41,88723.17,91156.88,91528.6,93503.5,95012.27,98358.8,104950.96,101781.3,95567.07,98411.82,98720.39,96064.68,97309.28,99214.14,101261.3,103704.23,103460.57,104625.52,105046.51,102372.65,105744.73,105632.05,104077.46,104006.5,104180.03,104420.19,104729.13,105142.66
Macau,18448.68,19197.59,21496.5,22438.29,23235.2,22880.01,23915.04,26420.59,27699.29,28315.29,29660.44,29723.07,32646.87,33529.3,34195.63,34587.63,33678.88,33053.96,31197.27,30022.35,31456.13,32138.59,34679.14,38266.98,47328.11,49114.2,52822.91,57451.68,57208.77,56497.36,69759.9,84131.3,91104.3,100443.03,98407.67,76529.96,75383.23,82066.8,85749.63,80993.55,36752.91,43479.46,31598.46,47151.49,61812.76,71190.66,77173.52,80702.33,82468.95
"Macedonia, North",3301.13,3338.5,3377.33,3431.86,3490.74,3547.61,3608.39,3670.73,3740.52,3808.48,3918.5,3664.2,3384.41,3085.56,3003.94,2941.55,2950.66,2972.4,3056.48,3172.85,3297.99,3177.85,3210.84,3270.97,3413.25,3565.29,3740.37,3974.31,4183.61,4159.49,4287.9,4377.77,4348.83,4465.56,4615.61,4781,4905.29,4947.8,5072.56,5243.77,4951.26,5217.01,5322.32,5374.62,5530.13,5701.93,5869.73,6039.78,6214.93
Madagascar,709.91,622.61,593.7,582.14,575.51,565.44,559.84,549.94,552.04,557.65,558.11,507.39,498.09,493.38,478.46,471.97,467.75,470.58,474.5,482.24,489.35,503.98,428.97,457.63,468.07,476.52,488.2,501.76,520.71,486.34,476.11,470.65,471.95,470.12,473.2,475.5,481.99,488.51,498.33,509.72,462.2,477.45,486.23,494.45,506.92,519.45,532.53,546.09,560.55
Malawi,300.7,275.96,274.04,275.39,281.24,285.16,274.29,264.16,256.94,247.16,249.96,262.48,235.39,254.96,234.08,276.22,290.28,293.54,296.98,298.05,294.86,272.68,269.65,276.89,283.32,283.71,287.75,305.25,317.79,332.79,343.73,348.33,343.09,348.99,356.76,354.76,351.72,356.14,357.96,364.21,358.5,359.55,354.31,354.2,356.93,362.39,370.14,378.12,386.26
Malaysia,3102.37,3218.48,3306.55,3407.47,3564.36,3426.11,3369.13,3444.07,3680.61,3918.28,4173.28,4448.77,4719.28,5058.51,5386.13,5768.95,6188.49,6470.88,5839.16,6039.22,6404.45,6278.66,6468.55,6678.57,6965.03,7197.23,7465.77,7799.29,8038,7785.41,8228.33,8527.05,8854.66,9129.96,9535.17,9876,10170.1,10622.06,10993.54,11338.52,10576.73,10800.1,11623.76,11892.08,12292.84,12724.86,13145,13574.92,14005.44
Maldives,3050.3,3199.32,3339.47,3383.49,3849.93,4253.25,4435.78,4638.16,4844.2,5087.81,3727.79,3798.82,3863.51,3923.41,4110.2,5401.91,5612.2,5969.15,6291.69,6444.28,6502.47,6124.92,6444.91,7178.37,7422.51,6262.97,7628.99,7838.11,8115.58,7331.18,7877.4,8566.33,8794.17,9445.57,10148.02,10449.82,11120.45,11887.65,12717.37,13392.33,8933.16,12676.65,14257.45,15293.09,16378.16,17480.86,18448.09,19423.89,20411.54
Mali,476,473.46,429.68,428.52,418.25,492.14,494.36,483.16,507.84,517.07,492.06,537.41,510.25,516.29,525.89,517.69,537.7,548.55,574.5,592.11,576.97,648.43,650.7,690.51,681.53,705.22,716.56,719.66,731.31,742.96,758.37,757.69,731.12,728.76,756.38,778.46,798.76,816.95,829.68,845.99,826.95,832.57,833.38,845.68,855.92,865.67,874.08,881.72,889.44
Malta,7403.09,7655.6,7905.05,7954.89,8130.27,8444.76,8780.3,9074.63,9753.64,1070.64,1119.55,1169.72,1252.65,1379.71,1517.15,13642.68,14030.83,14633,15253.14,15851.84,16804.74,16798.31,17194.97,17523.54,17493.67,18048.96,18313.12,18977.29,19486,18864.37,19437.57,19618.97,20014.85,20790.37,22408.16,24583.4,25718.27,27081.9,28765.92,29743.74,26947.32,29891.99,31713.17,32607.52,33651.71,34983.37,36156.41,37128.75,38091.21
Mauritania,1541.93,1562.04,1493.08,1515.29,1434.03,1443.82,1491.51,1484.73,1475.06,1514.94,1457.84,1447.47,1424.52,1453.8,1367.93,1467.67,1528.52,1438.48,1441.77,1456.21,1363.37,1318.25,1302.92,1358.4,1387.37,1469.08,1695.88,1622.14,1577.88,1541.8,1544.89,1571.8,1604.15,1632.62,1664.07,1714.59,1698.16,1719.8,1719.03,1783.07,1715.76,1721.52,1776.77,1830.54,1925.71,2004.61,2077.56,2140.76,2195.44
Mauritius,2276.86,2373,2470.66,2455.06,2545.35,2699.69,2940.54,3177.14,3364.76,3486.77,3708.5,3836.4,4036.96,4188.72,4312.29,4449.87,4647.91,4856.63,5096.89,5174.37,5538.37,5666.69,5702.44,5983.87,6186.96,6242.41,6490.75,6805.61,7114.31,7292.49,7553.82,7803.86,8019.01,8231.17,8482.19,8726.71,9005.08,9291.47,9584.05,9867.94,8417.02,8705.81,9209.69,9661.12,10039.47,10428.09,10827.29,11238.72,11665.79
Mexico,7606.64,8068.23,7842.66,7394.67,7474.82,7473.08,7090.49,7063.21,7010.23,7160.61,7395.18,7567.57,7691.68,7697.98,7937.13,7312.69,7680.1,8074.41,8362.54,8476.19,8778.65,8626.43,8509.81,8518.79,8736.05,8824.79,9106.97,9194.46,9173.21,8566.16,8875.5,9070.23,9272.52,9277.93,9421.67,9615.54,9780.52,9872.68,9969.97,9845.84,8984.01,9393.25,9636.71,9814.52,9943.96,10093.76,10231.14,10373.24,10517.31
Moldova,2163.55,2132.19,2365.35,2451.71,2515.21,2362.08,2527.49,2537.62,2536.66,2621.64,2570.48,2117.92,1502.1,1485.06,1027.96,1018.37,963.19,985.79,929.54,907.02,936.03,1003.96,1094.5,1180.58,1282.65,1395.03,1479.68,1542.11,1681.44,1597.77,1729.05,1848.31,1856.14,2044.65,2168.82,2183.69,2303.59,2437,2568.72,2685.88,2514.49,2896.45,2750.01,2824.53,2966.47,3109.37,3265.55,3427.51,3594.03
